########

## 	Model: GORU with N=64 FFT

########

5000	1.903818
11249	1.795660
17498	1.749342
23747	1.721943
29996	1.701012
36245	1.684362
42494	1.672154
48743	1.664465
54992	1.658201
61241	1.653563
67490	1.649700
73739	1.646311
79988	1.642967
86237	1.640152
92486	1.637890
Test result: 93735	1.684796
