########

## 	Model: LSTM with N=350

########

5000	1.508102
11249	1.402700
17498	1.368397
23747	1.352011
29996	1.342334
36245	1.335744
42494	1.331038
48743	1.327860
54992	1.325260
61241	1.324235
67490	1.323274
73739	1.322055
79988	1.321720
86237	1.320980
92486	1.320591
98735	1.321245
104984	1.321678
111233	1.322108
117482	1.321748
123731	1.321683
Test result: 124980	1.377174
