########

## 	Model: GORU with N=512 FFT

########

5000	1.812307
11249	1.555435
17498	1.477790
23747	1.429925
29996	1.404051
36245	1.388427
42494	1.378591
48743	1.370819
54992	1.365534
61241	1.361486
67490	1.358462
73739	1.355822
79988	1.354173
86237	1.352881
92486	1.352611
98735	1.352941
104984	1.352493
111233	1.352493
117482	1.352486
123731	1.352559
Test result: 124980	1.408745
