########

## 	Model: LSTRM with N=350

########

5000	1.523798
11249	1.461731
17498	1.436546
23747	1.423406
29996	1.410245
36245	1.400900
42494	1.398142
48743	1.394348
54992	1.390036
61241	1.390018
67490	1.385036
73739	1.384718
79988	1.380910
86237	1.378277
92486	1.376742
98735	1.376431
104984	1.376197
111233	1.373831
117482	1.373459
123731	1.371866
Test result: 124980	1.427692
