########

## 	Model: LSTM with N=64

########

5000	1.828188
11249	1.715631
17498	1.664603
23747	1.634579
29996	1.614506
36245	1.600642
42494	1.590794
48743	1.583244
54992	1.577239
61241	1.572243
67490	1.568070
73739	1.564481
79988	1.561392
86237	1.558783
92486	1.556498
98735	1.554370
104984	1.552340
111233	1.550430
117482	1.548675
123731	1.547032
129980	1.545460
136229	1.543962
142478	1.542551
148727	1.541233
154976	1.540018
Test result: 156225	1.595825
