########

## 	Model: GRRU with N=64

########

5000	1.782641
11249	1.681533
17498	1.638710
23747	1.617854
29996	1.604433
36245	1.596080
42494	1.590482
48743	1.584514
54992	1.577951
61241	1.578429
67490	1.572499
73739	1.570734
79988	1.571077
86237	1.569767
92486	1.565487
98735	1.562387
104984	1.561420
111233	1.561549
117482	1.561852
123731	1.556326
129980	1.557536
136229	1.556664
142478	1.555180
148727	1.556450
154976	1.552862
Test result: 156225	1.604655
